398576:
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 18702, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 21063, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 19128, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 17930, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 10806, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 18752, fractionAlong: 0.5]
538882:
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 16983, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 13138, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 13669, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 10768, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 10749, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 10324, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 23886, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 13741, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 22490, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 23770, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 18995, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 4312, fractionAlong: 0.5]
